[2, 7, 1, 3, 6, 0, 11, 9, 5, 10, 12, 4, 8, 14, 13, 15]
[5, 6, 2, 1, 14, 10, 12, 3, 13, 9, 0, 7, 11, 15, 8, 4]
[8, 6, 0, 5, 12, 3, 7, 14, 2, 9, 15, 11, 13, 10, 4, 1]
[9, 1, 4, 7, 6, 13, 2, 8, 12, 15, 0, 5, 10, 14, 3, 11]
[2, 10, 8, 4, 15, 0, 9, 3, 1, 5, 7, 12, 13, 6, 11, 14]
[14, 7, 4, 1, 9, 0, 3, 6, 11, 15, 10, 12, 13, 8, 5, 2]
[1, 6, 4, 5, 14, 7, 3, 13, 8, 9, 10, 12, 2, 15, 11, 0]
[9, 5, 4, 10, 6, 14, 2, 3, 1, 13, 8, 12, 7, 0, 15, 11]
[8, 3, 0, 4, 7, 6, 14, 9, 10, 13, 2, 1, 5, 11, 15, 12]
[0, 2, 6, 11, 7, 9, 3, 10, 1, 5, 15, 4, 14, 13, 12, 8]
