[2, 6, 3, 4, 1, 14, 7, 0, 5, 10, 11, 8, 9, 13, 15, 12]
[5, 1, 6, 3, 7, 10, 2, 4, 0, 9, 11, 8, 13, 14, 15, 12]
[5, 1, 4, 8, 9, 2, 7, 3, 0, 6, 10, 12, 13, 14, 11, 15]
[2, 3, 4, 8, 1, 0, 7, 12, 5, 6, 10, 11, 9, 13, 14, 15]
[0, 1, 2, 4, 5, 6, 11, 8, 9, 10, 3, 7, 13, 14, 15, 12]
[1, 2, 3, 4, 6, 0, 7, 8, 5, 11, 12, 15, 10, 9, 13, 14]
[1, 6, 4, 8, 5, 3, 2, 11, 9, 10, 15, 7, 13, 14, 12, 0]
[1, 2, 7, 3, 5, 6, 4, 8, 9, 10, 15, 11, 13, 0, 14, 12]
[7, 2, 0, 4, 1, 6, 3, 8, 5, 9, 11, 12, 13, 10, 14, 15]
[2, 7, 0, 4, 1, 3, 6, 8, 5, 14, 10, 12, 9, 13, 11, 15]
[5, 1, 3, 4, 13, 2, 7, 8, 0, 6, 11, 12, 10, 9, 14, 15]
[2, 7, 0, 3, 1, 6, 11, 4, 5, 9, 15, 8, 13, 10, 14, 12]
[5, 1, 2, 7, 9, 6, 4, 3, 13, 10, 11, 8, 14, 0, 15, 12]
[6, 2, 4, 7, 1, 0, 5, 3, 9, 10, 11, 8, 13, 14, 15, 12]
[5, 1, 2, 4, 9, 8, 3, 11, 0, 6, 10, 7, 13, 14, 15, 12]
[1, 2, 3, 4, 5, 6, 8, 11, 14, 13, 10, 7, 9, 15, 12, 0]
[5, 1, 3, 4, 9, 2, 7, 0, 13, 11, 6, 8, 14, 10, 15, 12]
[1, 6, 2, 7, 9, 5, 4, 3, 13, 10, 11, 8, 14, 0, 15, 12]
[1, 2, 3, 4, 6, 7, 14, 11, 5, 10, 0, 8, 9, 13, 15, 12]
[6, 1, 3, 4, 2, 7, 8, 0, 5, 10, 11, 12, 9, 13, 14, 15]
[5, 1, 2, 3, 6, 7, 11, 4, 9, 14, 10, 8, 13, 15, 12, 0]
[2, 4, 0, 7, 1, 5, 6, 3, 9, 10, 11, 8, 13, 14, 15, 12]
[2, 3, 8, 7, 1, 6, 4, 0, 5, 10, 11, 12, 9, 13, 14, 15]
[2, 5, 3, 4, 1, 0, 6, 7, 14, 10, 11, 8, 9, 13, 15, 12]
[1, 2, 3, 4, 7, 6, 11, 8, 5, 13, 14, 12, 9, 0, 10, 15]
[1, 2, 4, 8, 5, 7, 3, 0, 11, 6, 14, 12, 9, 13, 10, 15]
[0, 2, 3, 4, 1, 5, 6, 7, 9, 14, 12, 8, 10, 13, 11, 15]
[2, 5, 3, 4, 1, 6, 7, 8, 13, 9, 0, 12, 10, 14, 11, 15]
[0, 2, 3, 4, 1, 6, 14, 8, 5, 10, 7, 12, 9, 13, 11, 15]
[5, 1, 2, 3, 6, 10, 7, 0, 9, 14, 11, 4, 13, 15, 12, 8]
[1, 6, 2, 3, 5, 7, 8, 0, 9, 10, 4, 12, 13, 14, 11, 15]
[1, 2, 3, 4, 9, 5, 6, 7, 13, 12, 8, 15, 14, 10, 11, 0]
[1, 7, 2, 4, 6, 3, 8, 12, 5, 9, 10, 15, 13, 14, 11, 0]
[1, 2, 8, 3, 5, 6, 4, 12, 9, 10, 7, 15, 13, 0, 14, 11]
[1, 2, 3, 4, 5, 6, 8, 11, 0, 13, 9, 7, 14, 15, 10, 12]
[1, 2, 3, 4, 6, 9, 7, 8, 0, 14, 10, 15, 5, 13, 12, 11]
[1, 2, 7, 3, 10, 9, 6, 4, 13, 5, 11, 8, 14, 0, 15, 12]
